name,Snow WaterEquivalent,Snow WaterEquivalent,Water Year-to-DatePrecipitation,Water Year-to-DatePrecipitation,
State  River Basin,# of Sites,Percent ofMedian,# ofSites,Percent ofMedian,NA
ALASKA,ALASKA,ALASKA,ALASKA,ALASKA,ALASKA
UPPER RIO GRANDE BASIN - New Mexico,10/12,32*,10/12,58,NA
SANGRE DE CRISTO MOUNTAIN RANGE BASINS,10/11,22,10/11,55,NA
JEMEZ RIVER BASIN,3/4,*,3/4,63,NA
SAN FRANCISCO RIVER BASIN,6/6,*,5/6,74,NA
GILA RIVER BASIN,3/3,*,3/3,81,NA
MIMBRES RIVER BASIN,2/2,*,2/2,82,NA
PECOS RIVER BASIN,3/3,5,3/3,56,NA
SAN JUAN RIVER BASIN,12/13,14,12/13,92,NA
ANIMAS RIVER BASIN,6/7,14,6/7,87,NA
CANADIAN RIVER BASIN,6/7,14*,6/7,47,NA
ZUNI/BLUEWATER RIVER BASIN,1/1,*,1/1,66,NA
RIO HONDO BASIN,1/1,*,1/1,80,NA
CHUSKA MOUNTAINS,2/2,*,2/2,79,NA
OREGON,OREGON,OREGON,OREGON,OREGON,OREGON
OWYHEE,8/12,1*,9/12,83,NA
MALHEUR,3/3,0*,3/3,90,NA
"GRANDE RONDE, POWDER, BURNT, IMNAHA",18/19,26,17/19,90,NA
"UMATILLA, WALLA WALLA, WILLOW",9/10,18*,9/10,96,NA
JOHN DAY,13/13,7*,13/13,86,NA
"UPPER DESCHUTES, CROOKED",14/14,7,14/14,77,NA
"HOOD, SANDY, LOWER DESCHUTES",9/10,16,9/10,98,NA
COAST RANGE,2/2,*,2/2,108,NA
WILLAMETTE,21/23,6,21/23,86,NA
"ROGUE, UMPQUA",12/13,7,10/13,74,NA
KLAMATH,17/20,1*,16/20,79,NA
"LAKE COUNTY, GOOSE LAKE",5/7,1*,6/7,84,NA
HARNEY,11/12,15*,11/12,92,NA
UTAH,UTAH,UTAH,UTAH,UTAH,UTAH
RAFT RIVER,2/2,29,2/2,91,NA
BEAR RIVER,24/26,35,25/26,101,NA
WEBER-OGDEN RIVERS,20/23,16,20/23,89,NA
PROVO R.-UTAH LAKE-JORDAN R.,19/26,17,19/26,85,NA
TOOELE VALLEY-VERNON CREEK,3/4,3,3/4,78,NA
NORTHEASTERN UINTAHS,10/13,17,11/13,81,NA
DUCHESNE RIVER,13/15,34,14/15,91,NA
PRICE-SAN RAFAEL,8/14,1,8/14,81,NA
DIRTY DEVIL,5/9,3*,5/9,72,NA
SOUTH EASTERN UTAH,5/12,14*,5/12,89,NA
UPPER SEVIER RIVER,17/23,18,17/23,79,NA
SAN PITCH RIVER,6/12,1,6/12,74,NA
LOWER SEVIER RIVER,3/5,0*,3/5,69,NA
BEAVER RIVER,3/3,21,3/3,69,NA
ESCALANTE RIVER,4/5,2,3/5,79,NA
SOUTHWESTERN UTAH,10/13,17*,10/13,104,NA
WASHINGTON,WASHINGTON,WASHINGTON,WASHINGTON,WASHINGTON,WASHINGTON
SPOKANE,9/9,40,8/9,106,NA
